N,P,K,temperature,humidity,ph,rainfall,label,month,soil_type
117.642,22.7898,32.5681,25.6536,65.8898,7.1763,118.0549,coffee,6,laterite
56.0,9.0,163.0,15.36,40.96,5.88,248.75,sugarcane,2,alluvial
0.0,34.3548,2.7002,25.1179,62.0387,6.5792,132.7443,sugarcane,2,alluvial
96.0,54.0,22.0,25.702,61.3345,6.9604,83.2071,maize,6,alluvial
13.0636,8.3545,10.3545,14.5173,92.4034,7.9647,107.9252,orange,7,loamy
5.0,77.0,19.0,31.09,66.69,6.24,175.93,pigeonpeas,6,alluvial
65.0,60.0,22.0,25.37,72.52,6.61,107.91,maize,6,alluvial
3.0,56.0,17.0,28.1994,53.507,8.7095,52.1371,mothbeans,6,sandy
89.0,57.0,43.0,26.92,73.2,7.0,177.22,jute,6,alluvial
115.0,9.0,52.0,29.07,90.98,6.02,29.12,muskmelon,2,sandy
20.0,40.0,15.0,29.5728,88.0758,7.1996,45.044,mungbean,3,sandy
101.0,75.0,50.0,26.5939,81.4074,6.2425,109.9826,banana,3,clay
26.0,66.0,22.0,18.06,65.1,6.3,51.55,lentil,10,loamy
35.0,101.0,142.0,30.59,37.71,5.98,193.19,barley,10,alluvial
116.5453,8.6909,50.1456,29.2189,90.8942,6.2399,28.8864,muskmelon,2,sandy
110.0,78.0,50.0,25.94,78.9,5.92,98.22,banana,3,clay
22.0,80.0,20.0,23.0088,18.8688,5.6696,100.1186,kidneybeans,10,loamy
73.0,35.0,38.0,24.89,81.98,5.01,185.95,rice,7,clay
110.0,22.0,47.0,29.0302,91.8202,6.2405,24.9398,muskmelon,2,sandy
83.627,28.6746,35.0,26.6368,53.8425,6.4138,154.8221,coffee,6,laterite
89.0,60.0,19.0,25.1919,66.6903,5.9137,78.0664,maize,6,alluvial
5.0,62.0,15.0,16.79,26.64,6.83,291.68,wheat,10,alluvial
135.0,63.0,20.0,33.72,32.97,8.59,81.31,barley,10,alluvial
31.0,75.0,18.0,15.4681,21.438,5.8237,88.8882,kidneybeans,10,loamy
9.0,48.0,20.0,29.6613,84.2805,6.3793,56.0987,mungbean,3,sandy
47.7462,61.3908,47.0508,25.4965,92.9445,6.7943,174.6485,papaya,3,alluvial
7.0,16.0,9.0,18.8796,92.043,7.8139,114.666,orange,7,loamy
9.0,25.0,41.0,24.8153,91.9084,5.9727,109.2853,pomegranate,2,sandy
39.0,57.0,19.0,29.3238,45.9325,6.4217,165.4113,pigeonpeas,6,alluvial
88.0,87.0,34.0,39.03,69.52,4.83,199.04,wheat,10,alluvial
44.0,47.0,45.0,38.7322,94.7361,6.5794,218.1421,papaya,3,alluvial
0.0,65.0,15.0,23.4617,23.222,5.6454,95.8425,kidneybeans,10,loamy
107.0,34.0,32.0,26.77,66.41,6.78,177.77,coffee,6,laterite
4.0,19.0,43.0,18.0713,93.1455,5.7794,106.3602,pomegranate,2,sandy
105.0,77.0,52.0,29.16,76.16,5.82,100.01,banana,3,clay
104.0,25.0,55.0,29.8101,90.37,6.1201,22.6899,muskmelon,2,sandy
118.0,88.0,51.0,25.4493,79.4922,6.2019,100.6619,banana,3,clay
102.0,11.0,45.0,29.0317,93.126,6.3554,24.1559,muskmelon,2,sandy
23.0,23.0,27.0,34.7241,51.4272,5.1611,97.3126,mango,2,loamy
27.6152,73.2693,20.3848,29.7012,48.5096,6.3589,94.2234,pigeonpeas,6,alluvial
23.0,5.0,44.0,21.2073,94.263,7.163,107.5661,pomegranate,2,sandy
32.297,32.792,122.891,24.409,33.5083,6.7629,137.354,cotton,5,black
86.0,76.0,54.0,29.32,80.12,5.93,90.11,banana,3,clay
18.0,17.0,31.0,31.7459,45.1613,5.6675,93.7544,mango,2,loamy
25.9004,17.9004,41.8008,19.6486,89.4607,6.8799,108.5337,pomegranate,2,sandy
130.0,16.0,131.0,17.09,37.39,5.14,239.44,wheat,10,alluvial
103.6763,78.4891,89.2303,27.3351,31.1603,7.0622,239.6612,sugarcane,2,alluvial
89.0,11.0,47.0,29.79,94.65,6.33,27.87,muskmelon,2,sandy
0.0,18.0,14.0,29.77,92.01,7.21,114.42,orange,7,loamy
36.0302,6.3233,12.0302,27.4022,91.8525,7.4554,101.6539,orange,7,loamy
3.0,103.0,120.0,21.49,71.72,5.84,278.95,sugarcane,2,alluvial
93.0,47.0,37.0,21.5335,82.14,6.5003,295.9249,rice,7,clay
34.0205,50.9385,175.3238,32.6526,84.7392,8.759,162.4399,soybean,6,black
18.0,26.0,31.0,32.6113,47.7492,5.4185,91.1019,mango,2,loamy
20.0,118.0,135.0,38.88,72.62,8.78,194.64,sugarcane,2,alluvial
105.0,18.0,35.0,23.5265,68.4403,6.7434,171.884,coffee,6,laterite
23.038,63.8724,20.27,23.3481,71.5578,5.0079,175.2717,barley,10,alluvial
3.0,67.0,24.0,17.0005,19.9083,5.5207,103.2921,kidneybeans,10,loamy
7.0,15.0,32.0,25.04,95.9,6.18,174.8,coconut,1,sandy
26.0,63.0,17.0,29.8791,65.7305,6.9502,44.9578,lentil,10,loamy
100.7798,10.7798,51.4405,25.2972,84.3211,6.6626,43.7247,watermelon,2,sandy
33.0,59.0,22.0,22.6424,21.594,5.947,122.3886,kidneybeans,10,loamy
5.9028,17.7085,37.0972,19.5212,89.7653,5.9155,108.0492,pomegranate,2,sandy
86.0,6.0,53.0,25.92,83.47,6.92,42.11,watermelon,2,sandy
84.0,51.0,35.0,22.3,80.64,6.04,197.98,rice,7,clay
55.1759,76.8241,20.9444,30.8745,62.6733,7.7166,64.5195,blackgram,6,clay
22.0,55.0,24.0,28.57,57.31,8.66,64.53,mothbeans,6,sandy
38.0,6.0405,25.0253,25.5566,96.8989,6.1533,191.3179,coconut,1,sandy
1.0,29.0,29.0,27.33,49.3001,6.0501,93.5301,mango,2,loamy
115.0,9.0,57.0,24.05,34.16,7.0,114.41,barley,10,alluvial
88.0,35.0,35.0,27.56,58.46,6.78,117.94,coffee,6,laterite
100.0,58.0,41.0,23.174,87.8826,6.6588,160.6217,jute,6,alluvial
27.1498,63.7312,44.1318,33.437,34.6097,5.8175,282.0881,sugarcane,2,alluvial
82.0,35.0,44.0,26.9666,78.2105,6.239,169.8391,jute,6,alluvial
27.9723,78.9778,16.0055,24.7072,60.2892,6.0585,53.0976,lentil,10,loamy
110.0,21.0,54.0,26.74,87.82,6.75,47.46,watermelon,2,sandy
40.0,121.0,199.0,26.18,81.04,6.32,66.06,grapes,1,loamy
77.0,48.0,36.0,25.8671,84.0999,7.3601,154.8391,jute,6,alluvial
48.8073,46.6024,49.5903,24.0616,90.9299,6.6282,213.5267,papaya,3,alluvial
39.0,60.0,15.0,35.0936,30.9869,5.0041,116.9107,pigeonpeas,6,alluvial
20.0,20.0,10.0,11.8663,93.6839,6.977,106.0601,orange,7,loamy
24.0,30.0,11.0,32.3952,94.5177,6.6014,113.2537,orange,7,loamy
111.0,28.0,26.0,27.77,64.48,6.94,192.71,coffee,6,laterite
103.1909,17.0,50.0454,25.2267,80.0651,6.2061,43.9933,watermelon,2,sandy
25.0,57.0,19.0,17.1543,19.8707,5.5665,87.9967,kidneybeans,10,loamy
24.0,45.0,19.0,26.8585,48.8246,5.9524,34.7426,mothbeans,6,sandy
6.0,77.0,25.0,20.6116,24.3631,5.7927,69.6383,kidneybeans,10,loamy
40.0,64.0,16.0,16.4334,24.2405,5.9267,140.3718,kidneybeans,10,loamy
74.0,46.0,45.0,25.76,88.37,6.03,189.43,jute,6,alluvial
30.0,17.0,31.0,31.2,54.5,6.8,94.63,mango,2,loamy
26.0,67.0,24.0,36.9779,37.7399,5.6428,161.4813,pigeonpeas,6,alluvial
120.0,23.0,55.0,27.8449,91.6067,6.732,26.4784,muskmelon,2,sandy
131.0,112.0,197.0,23.31,77.82,7.74,74.81,maize,6,alluvial
31.9695,25.0305,9.0,10.4009,93.7447,7.793,101.2125,orange,7,loamy
67.0,46.0,44.0,26.8225,78.202,7.0917,153.92,jute,6,alluvial
13.1136,65.2272,15.8864,19.0282,22.3255,5.7033,138.9,kidneybeans,10,loamy
4.4217,23.8434,5.4217,26.0711,93.6355,6.8606,108.8463,orange,7,loamy
19.0,26.0,29.0,26.93,98.8,5.67,166.57,coconut,1,sandy
40.0,140.0,195.0,14.9785,80.4998,6.2944,71.6344,grapes,1,loamy
7.0,17.0,10.0,10.16,91.22,6.47,106.36,orange,7,loamy
20.0,19.0,35.0,34.18,50.62,6.11,98.01,mango,2,loamy
1.0,6.0,35.0,27.0227,95.7194,6.2317,147.1682,coconut,1,sandy
25.0,35.0,20.0,28.9025,43.3537,8.9231,71.9002,mothbeans,6,sandy
12.0,96.0,4.0,27.52,31.51,7.68,117.0,cotton,5,black
97.0,22.0,26.0,23.61,59.69,6.07,185.16,coffee,6,laterite
7.0,45.0,22.0,25.5063,44.8303,9.9262,74.3264,mothbeans,6,sandy
83.8207,29.4621,25.3931,25.4642,52.9278,6.5874,187.2505,coffee,6,laterite
83.0,92.0,109.0,23.93,65.95,6.26,109.12,wheat,10,alluvial
95.0,7.0,83.0,31.7,47.37,4.59,176.16,wheat,10,alluvial
111.0,88.0,55.0,29.448,78.3497,5.5054,96.4504,banana,3,clay
28.0,59.0,67.0,18.12,54.19,7.17,241.56,soybean,6,black
58.0,70.0,84.0,20.65,16.61,6.23,74.66,chickpea,10,sandy
123.0,78.0,133.0,28.58,31.88,8.46,139.92,sugarcane,2,alluvial
36.0,80.0,21.0,33.6484,48.4134,7.0673,100.4681,pigeonpeas,6,alluvial
20.0,60.0,22.0,29.65,42.9,6.88,186.92,pigeonpeas,6,alluvial
19.0,53.0,22.0,27.86,80.45,6.85,42.83,mungbean,3,sandy
15.5319,57.4114,21.8227,25.0604,63.7154,6.4065,49.8683,lentil,10,loamy
60.0,68.0,83.0,19.12,18.43,6.62,85.53,chickpea,10,sandy
103.0,28.4511,31.4837,27.0529,51.3275,6.7979,126.3281,coffee,6,laterite
12.0,8.0,10.0,16.1482,91.4448,7.9958,107.4288,orange,7,loamy
4.0,41.0,20.0,28.15,83.8,6.65,37.45,mungbean,3,sandy
82.9088,20.2624,31.9696,23.7226,60.4042,7.2628,133.1275,coffee,6,laterite
40.0,132.0,202.0,24.58,80.71,5.97,69.71,grapes,1,loamy
34.0,45.0,21.0,28.1889,82.6075,6.2882,37.0107,mungbean,3,sandy
53.0,67.0,17.0,31.7768,69.0185,7.297,61.4689,blackgram,6,clay
95.0,39.0,29.0,27.3515,55.9938,7.1341,148.9813,coffee,6,laterite
43.2062,38.763,175.1615,29.3551,42.7337,7.24,78.8937,barley,10,alluvial
92.0,35.0,40.0,22.1793,80.3313,6.3574,200.0883,rice,7,clay
95.0,55.0,42.0,26.7953,82.1481,5.9507,193.3474,rice,7,clay
39.0,139.0,201.0,41.1866,81.0178,5.54,68.689,grapes,1,loamy
2.0,61.0,20.0,22.1397,23.0225,5.9556,76.6413,kidneybeans,10,loamy
8.0,6.0,33.0,28.278,93.6476,6.0953,171.9458,coconut,1,sandy
61.0,44.0,17.0,26.1,71.57,6.93,102.27,maize,6,alluvial
25.0,51.0,24.0,25.5,61.67,9.39,65.08,mothbeans,6,sandy
65.0575,63.1439,48.0288,31.1717,91.5903,6.8414,147.3324,papaya,3,alluvial
130.0,59.0,19.0,25.0728,82.5026,6.5204,93.5104,cotton,5,black
30.7607,11.9007,121.7686,32.8799,22.3751,6.4156,106.184,soybean,6,black
125.0,115.0,167.0,26.6,36.41,6.84,198.42,rice,7,clay
108.0,72.0,46.0,25.16,84.98,6.11,90.95,banana,3,clay
9.0,60.0,21.0,29.94,67.31,7.52,40.37,lentil,10,loamy
115.0,48.0,16.0,25.54,84.09,7.18,88.94,cotton,5,black
13.0,75.0,20.0,30.5599,35.2901,6.9795,178.8999,pigeonpeas,6,alluvial
17.0,43.0,22.0,30.0614,45.9007,5.4983,41.0551,mothbeans,6,sandy
61.0,53.0,43.0,26.4,81.06,6.35,223.37,rice,7,clay
35.0,134.0,204.0,9.95,82.55,5.84,66.01,grapes,1,loamy
21.0,134.0,202.0,10.723,80.0213,6.4254,65.2982,grapes,1,loamy
102.0,46.0,19.0,22.7702,82.5998,6.6303,81.4985,cotton,5,black
68.0,57.0,43.0,26.0887,80.3798,5.7069,182.9044,rice,7,clay
39.0,7.0,29.0,27.54,94.59,6.36,150.2,coconut,1,sandy
33.0,14.7282,7.2718,17.2466,92.0312,7.6602,110.0086,orange,7,loamy
45.5425,107.6718,149.9204,30.172,76.4023,7.581,273.777,barley,10,alluvial
19.0,24.0,15.0,20.4895,93.7249,7.1371,111.8392,orange,7,loamy
21.0,63.0,17.0,15.7712,19.2301,5.98,108.3413,kidneybeans,10,loamy
25.2049,48.0121,19.0,27.1353,50.5383,5.9842,33.4273,mothbeans,6,sandy
18.0,26.0,31.0,32.6106,47.7496,5.4193,91.1009,mango,2,loamy
60.0,70.0,190.0,35.09,74.39,5.12,259.09,rice,7,clay
74.0,55.0,19.0,18.0503,62.8937,6.2889,84.2361,maize,6,alluvial
31.1462,66.7192,81.1404,19.9128,15.4451,7.2802,76.1664,chickpea,10,sandy
57.0,56.0,78.0,17.3415,18.7563,8.8615,67.9545,chickpea,10,sandy
38.0,14.0,30.0,26.9245,91.2011,5.5707,194.9022,coconut,1,sandy
71.7392,117.1401,131.8017,20.8282,58.9922,6.7492,134.8087,barley,10,alluvial
65.0,62.0,51.0,31.5307,90.8711,6.5104,207.0709,papaya,3,alluvial
19.0,65.0,25.0,18.0955,18.2932,5.6251,144.7902,kidneybeans,10,loamy
117.0,82.0,45.0,25.2939,79.2912,5.6145,105.422,banana,3,clay
113.3689,66.2048,164.2455,25.5541,28.0708,6.9235,244.5313,barley,10,alluvial
99.0,27.0,143.0,35.69,21.66,6.28,86.65,rice,7,clay
33.0,60.0,15.0,28.9517,81.6709,6.5108,56.511,mungbean,3,sandy
20.0,79.0,77.0,18.5499,16.0254,7.6487,76.3257,chickpea,10,sandy
98.0,27.0,27.0,24.7101,51.29,7.24,197.6401,coffee,6,laterite
32.3651,57.4687,163.3133,34.6592,30.1668,8.639,166.9422,barley,10,alluvial
6.0,128.0,200.0,25.96,82.58,5.84,70.32,grapes,1,loamy
67.0,35.0,22.0,23.3056,63.2466,6.3858,108.7603,maize,6,alluvial
9.0,80.0,19.0,21.81,18.57,5.95,125.1,kidneybeans,10,loamy
82.0,35.0,35.0,25.4939,86.9706,7.2991,176.5268,jute,6,alluvial
7.0,94.0,94.0,39.07,72.77,6.19,59.75,barley,10,alluvial
35.0,71.0,17.0,29.8911,66.3514,6.9307,198.1401,pigeonpeas,6,alluvial
1.4939,122.0244,200.9756,23.4235,93.9812,5.7736,110.6697,apple,1,loamy
119.3264,42.1822,95.3454,27.4136,34.5526,7.3487,133.9687,sugarcane,2,alluvial
122.0,117.0,175.0,36.39,31.23,6.89,58.61,sugarcane,2,alluvial
6.1232,124.8768,203.8768,27.9885,82.8474,5.7234,69.8438,grapes,1,loamy
120.0,87.0,52.0,28.08,76.06,5.91,118.99,banana,3,clay
9.0,59.0,24.0,20.44,39.37,4.75,137.23,pigeonpeas,6,alluvial
104.0,73.0,46.0,29.1401,80.119,6.2824,90.4514,banana,3,clay
112.2659,14.5721,175.9307,22.9078,41.5621,8.3299,149.1544,soybean,6,black
110.0,15.0,48.0,28.58,92.87,6.21,27.6,muskmelon,2,sandy
65.0259,62.0311,50.9689,31.5444,90.8842,6.5141,207.0545,papaya,3,alluvial
96.716,80.284,49.144,26.2181,83.9754,6.1295,91.799,banana,3,clay
95.0,32.0,4.0,34.11,76.18,6.81,62.79,wheat,10,alluvial
55.0,77.0,22.0,31.43,62.99,7.76,64.78,blackgram,6,clay
103.0,33.0,25.0,27.1021,55.7497,6.9111,139.5013,coffee,6,laterite
43.4126,78.5874,78.725,19.2464,19.0773,7.6914,80.7317,chickpea,10,sandy
9.0,48.0,20.0,29.66,84.28,6.38,56.1,mungbean,3,sandy
126.8734,24.1055,84.5145,15.3201,37.078,7.3385,224.202,sugarcane,2,alluvial
21.0,23.0,42.0,19.5413,90.2975,6.9028,104.374,pomegranate,2,sandy
77.1,54.9,42.8666,25.5301,76.0285,6.6803,193.8308,jute,6,alluvial
4.0,72.0,50.0,21.51,41.55,7.89,133.04,rice,7,clay
16.7801,23.0,7.512,22.093,92.6651,6.6431,101.7767,orange,7,loamy
22.0,17.0,5.0,24.1219,90.7235,6.9456,102.8356,orange,7,loamy
25.0,40.0,21.0,27.7333,81.139,6.2489,44.1758,mungbean,3,sandy
107.3155,81.1195,25.1413,30.3129,55.7965,6.3352,162.0013,wheat,10,alluvial
37.1313,76.0,75.3771,18.9797,16.2365,8.5099,70.0066,chickpea,10,sandy
23.0,62.0,19.0,16.52,20.46,5.61,98.78,kidneybeans,10,loamy
101.0,58.0,18.0,25.6689,81.381,6.6521,78.596,cotton,5,black
121.0,60.0,100.0,38.9,63.72,4.94,110.4,rice,7,clay
22.8157,45.7373,21.1843,30.8728,53.5991,8.0167,74.1137,mothbeans,6,sandy
9.0,60.0,23.0,31.9699,57.1716,6.2783,64.2579,mothbeans,6,sandy
29.0,145.0,205.0,22.8123,92.1299,6.2123,109.3384,apple,1,loamy
104.0,25.0,55.0,29.81,90.37,6.12,22.69,muskmelon,2,sandy
40.0,49.0,47.0,42.9337,91.1757,6.5015,246.3613,papaya,3,alluvial
31.5023,61.8733,18.2535,21.3728,20.4961,5.567,100.6254,kidneybeans,10,loamy
118.0,50.0,19.0,22.956,82.3373,6.3608,66.4834,cotton,5,black
32.0,55.0,52.0,37.59,92.0,6.97,159.66,papaya,3,alluvial
28.0,30.0,20.0,39.46,60.83,7.87,242.96,rice,7,clay
39.9333,16.1,34.8666,31.9884,49.0266,6.4632,89.6289,mango,2,loamy
10.0,125.0,196.0,22.31,90.04,5.73,113.07,apple,1,loamy
25.0,71.0,150.0,22.57,85.0,4.5,210.86,rice,7,clay
124.7267,11.728,189.9093,22.7372,63.9054,6.3164,187.8821,soybean,6,black
63.0,44.0,41.0,24.173,83.7288,5.5834,257.0344,rice,7,clay
36.0,25.0,33.0,27.9839,53.3302,5.5486,99.6147,mango,2,loamy
41.4817,68.0,18.4817,31.8828,65.6587,7.6164,69.9309,blackgram,6,clay
58.6711,58.9866,16.3423,29.339,65.6272,7.3808,62.816,blackgram,6,clay
27.0,30.0,5.0,32.7188,90.5482,7.6586,113.3295,orange,7,loamy
10.6765,131.5148,197.4852,16.0523,81.3015,5.7243,74.3102,grapes,1,loamy
9.0464,37.8918,25.0155,34.6085,50.3648,5.4984,100.3085,mango,2,loamy
1.0,66.0,23.0,19.5432,56.9283,4.8036,173.1687,pigeonpeas,6,alluvial
94.0,53.0,199.0,35.71,51.8,8.01,82.82,maize,6,alluvial
61.5653,95.1437,145.6772,26.7215,79.3578,6.1739,197.7591,maize,6,alluvial
91.2058,38.5144,36.2058,26.2211,78.0932,7.2589,157.0665,jute,6,alluvial
33.0,26.0,9.0,28.27,77.88,6.16,108.22,sugarcane,2,alluvial
29.0,70.0,15.0,30.335,63.5472,6.8726,74.167,blackgram,6,clay
100.0,41.0,22.0,22.4205,84.5579,7.3188,93.466,cotton,5,black
27.1366,39.5093,21.0,31.1496,61.1277,7.7332,63.8905,mothbeans,6,sandy
3.0,49.0,18.0,27.911,64.7093,3.6929,32.6789,mothbeans,6,sandy
36.0,19.0,32.0,27.1091,50.7096,4.9409,92.3707,mango,2,loamy
52.0,73.0,79.0,17.2598,18.7499,7.84,94.0003,chickpea,10,sandy
40.1314,70.6204,109.537,30.6747,77.8938,6.1531,173.0794,wheat,10,alluvial
31.7228,143.3193,204.0,21.5472,92.1266,5.81,121.4419,apple,1,loamy
27.264,58.2453,81.4906,17.6468,16.3192,6.3799,93.5254,chickpea,10,sandy
13.8114,79.6038,134.5188,35.9324,58.1966,7.398,283.437,barley,10,alluvial
136.0,36.0,20.0,23.096,84.8628,6.9254,71.2958,cotton,5,black
39.0,24.0,14.0,30.5547,90.9034,7.1893,106.0712,orange,7,loamy
74.0,40.0,40.0,25.1384,83.1205,6.3863,169.3388,jute,6,alluvial
105.0,77.0,52.0,29.1623,76.1615,5.8166,100.0076,banana,3,clay
11.1028,34.0,31.5889,29.5766,48.9589,6.7601,97.6815,mango,2,loamy
83.0,25.0,53.0,26.492,80.0468,6.0577,57.728,watermelon,2,sandy
17.0,58.0,25.0,31.1292,43.5884,6.4567,32.7681,mothbeans,6,sandy
5.9667,76.9,24.8666,20.466,24.2629,5.786,69.5494,kidneybeans,10,loamy
22.0,37.0,20.0,27.63,86.49,6.61,39.26,mungbean,3,sandy
27.0,79.0,82.0,17.0658,17.5402,6.307,70.8715,chickpea,10,sandy
39.0,21.0,9.0,13.2098,94.0297,6.3505,106.27,orange,7,loamy
21.2936,65.3487,17.0,16.4687,19.277,5.842,108.1492,kidneybeans,10,loamy
70.0,47.0,17.0,24.6129,70.4162,6.6008,104.1626,maize,6,alluvial
136.0,36.0,20.0,23.096,84.8628,6.9254,71.2958,cotton,5,black
99.3542,38.406,30.9373,24.6318,69.9062,7.0129,162.4898,coffee,6,laterite
71.0,65.0,146.0,20.09,47.93,6.65,258.54,barley,10,alluvial
54.0102,7.4949,68.798,17.3511,41.7519,7.213,272.8614,sugarcane,2,alluvial
31.0,53.0,16.0,28.742,85.8168,6.452,48.546,mungbean,3,sandy
41.0,52.0,177.0,33.51,37.95,6.42,86.38,barley,10,alluvial
25.2076,106.6981,41.717,33.1964,83.0645,7.5126,89.6317,soybean,6,black
129.9896,95.6515,48.0,35.6278,38.7399,6.887,186.5654,barley,10,alluvial
37.0,126.0,196.0,23.6,90.976,5.5964,107.1728,apple,1,loamy
16.0,75.0,21.0,18.5069,23.6167,5.6792,87.0513,kidneybeans,10,loamy
32.0,60.0,83.0,19.6902,19.4403,8.8299,91.7601,chickpea,10,sandy
32.0,145.0,203.0,23.8305,90.8442,6.4068,109.5967,apple,1,loamy
120.0,20.0,45.0,25.6683,88.6994,6.1116,54.2289,watermelon,2,sandy
28.0,69.0,16.0,29.7701,66.2933,6.5474,35.6967,lentil,10,loamy
27.0,17.0,69.0,30.91,29.82,4.89,159.89,barley,10,alluvial
30.8633,62.3525,17.5107,22.8551,22.5668,5.5548,100.4796,kidneybeans,10,loamy
135.9673,58.1144,112.0381,22.0263,62.7602,8.1299,179.3675,wheat,10,alluvial
113.0,30.0,50.0,26.0397,83.9862,6.2775,43.8771,watermelon,2,sandy
9.8487,56.0,17.8487,27.7149,68.3599,7.1659,46.1629,lentil,10,loamy
0.0,19.0,33.0,27.1326,95.238,6.2345,204.7207,coconut,1,sandy
118.0,31.0,34.0,27.5482,62.8818,6.1238,181.4171,coffee,6,laterite
81.0,112.0,189.0,32.83,70.72,7.76,210.11,cotton,5,black
8.0,45.0,15.0,28.0957,60.9835,4.6114,33.8411,mothbeans,6,sandy
26.0,11.0,11.0,13.7021,90.9573,7.6096,106.293,orange,7,loamy
1.0,29.0,29.0,27.3296,49.3035,6.052,93.532,mango,2,loamy
39.0,31.0,185.0,39.0,88.85,5.36,253.99,sugarcane,2,alluvial
87.0,21.0,52.0,27.3506,94.2912,6.0677,27.2124,muskmelon,2,sandy
11.2993,60.1971,19.1022,19.3515,19.4676,5.7235,137.9826,kidneybeans,10,loamy
34.5084,77.7767,144.8605,29.5152,49.6419,6.3408,226.6893,barley,10,alluvial
31.0,8.0,7.0,34.5147,93.6381,7.1632,103.5685,orange,7,loamy
21.0,39.0,20.0,28.1445,82.1193,7.0648,46.7569,mungbean,3,sandy
11.39,60.46,24.31,17.9198,20.0232,5.7208,126.4639,kidneybeans,10,loamy
9.1623,57.3246,23.6754,29.6821,89.2778,7.1677,42.0091,mungbean,3,sandy
6.0,37.0,17.0,28.0866,80.3501,6.7607,38.1448,mungbean,3,sandy
9.0,137.0,200.0,21.12,90.69,5.64,102.8,apple,1,loamy
43.8534,5.9634,164.5183,16.6202,43.445,7.0693,260.4461,sugarcane,2,alluvial
57.0,36.0,81.0,23.95,71.91,8.89,277.95,barley,10,alluvial
22.0,50.7268,16.8197,28.0062,61.379,7.9666,70.4507,mothbeans,6,sandy
38.0,36.0,21.0,28.0297,84.8829,6.5577,36.1203,mungbean,3,sandy
93.0,41.0,17.0,25.6217,66.5042,6.0479,105.4655,maize,6,alluvial
26.8517,67.5371,19.9258,29.5804,63.8546,6.8823,65.4137,blackgram,6,clay
25.0,71.0,24.0,28.5,60.45,7.19,74.92,blackgram,6,clay
108.0,54.0,35.0,37.69,58.39,7.11,120.64,cotton,5,black
7.9889,139.0166,199.0166,29.3577,81.5478,6.3358,66.1582,grapes,1,loamy
6.0,66.0,15.0,34.9317,30.4005,6.3458,159.265,pigeonpeas,6,alluvial
13.2149,8.7025,12.1901,12.3801,94.2125,7.9338,109.2435,orange,7,loamy
22.0,30.0,12.0,15.78,92.51,6.35,119.04,orange,7,loamy
4.8774,24.7547,5.8774,29.7341,93.9303,6.1903,107.2416,orange,7,loamy
100.0,37.0,168.0,39.53,20.76,7.0,199.01,cotton,5,black
37.0,126.0,196.0,23.6,90.976,5.5964,107.1728,apple,1,loamy
68.9049,54.5198,181.5674,34.8386,65.9258,6.5788,215.8947,wheat,10,alluvial
